Wavelength,P0,P1,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P2,P20,P21,P22,P23,P3,P4,P5,P6,P7,P8,P9
405.0,0.005307,0.002972,0.00771,0.004511,0.002064,0.00179,0.001205,0.0005157,0.00349,0.003094,0.002184,0.0009915,0.00114,0.007817,0.007478,0.006446,0.004099,0.0003242,0.007856,0.00571,0.00284,0.000929,0.009831,0.009287
415.0,0.00493,0.002905,0.008435,0.004981,0.001777,0.001583,0.001131,0.0005225,0.003164,0.002861,0.002117,0.001026,0.001162,0.008025,0.007704,0.006713,0.004375,0.0003369,0.008059,0.005963,0.003037,0.001009,0.01068,0.01011
425.0,0.004604,0.002843,0.009223,0.0055,0.001613,0.001462,0.00109,0.0005341,0.002987,0.002738,0.002096,0.00107,0.001186,0.008324,0.008013,0.007045,0.00469,0.000351,0.008269,0.006225,0.003248,0.001096,0.0116,0.011
435.0,0.004125,0.002704,0.01005,0.006061,0.001386,0.001282,0.001004,0.0005324,0.002676,0.002491,0.001988,0.001088,0.001197,0.008388,0.008105,0.007207,0.004937,0.0003652,0.008272,0.006371,0.003438,0.001189,0.01253,0.01191
445.0,0.003908,0.002658,0.01098,0.006695,0.00136,0.001267,0.001012,0.0005549,0.002693,0.002523,0.002047,0.001155,0.001225,0.008885,0.008601,0.007693,0.005348,0.0003825,0.008506,0.006655,0.003679,0.001296,0.0136,0.01294
455.0,0.003843,0.002676,0.01202,0.007406,0.001417,0.001323,0.001065,0.0005922,0.00286,0.002685,0.002193,0.001253,0.001268,0.009646,0.009348,0.00839,0.005881,0.0004027,0.008921,0.00706,0.003972,0.001417,0.01479,0.0141
465.0,0.003677,0.002641,0.01312,0.008179,0.001358,0.001279,0.001052,0.0006102,0.002812,0.002658,0.002213,0.001313,0.001301,0.01007,0.009781,0.008839,0.006309,0.0004238,0.00919,0.00738,0.004255,0.001547,0.01602,0.0153
475.0,0.003598,0.002647,0.01433,0.00904,0.00138,0.001304,0.001085,0.0006441,0.002912,0.002762,0.002323,0.001407,0.001346,0.01078,0.01048,0.009516,0.006874,0.0004478,0.009581,0.007787,0.004582,0.001694,0.01737,0.01662
485.0,0.003568,0.002677,0.01565,0.009991,0.001473,0.001394,0.001164,0.0006959,0.00316,0.003,0.002531,0.001542,0.001399,0.01181,0.01149,0.01046,0.007603,0.0004744,0.01006,0.008259,0.004949,0.001857,0.01884,0.01806
495.0,0.003486,0.002676,0.01705,0.01102,0.00162,0.001532,0.001279,0.000763,0.00352,0.003342,0.002817,0.001714,0.001446,0.0131,0.01275,0.01163,0.008487,0.0005026,0.01044,0.008676,0.005316,0.002034,0.02037,0.01956
505.0,0.003098,0.002478,0.01831,0.01205,0.001746,0.001653,0.001383,0.0008297,0.00385,0.003658,0.003091,0.001888,0.00143,0.01437,0.01401,0.0128,0.009408,0.0005248,0.01012,0.008595,0.005495,0.002195,0.02168,0.02087
515.0,0.002519,0.00212,0.0193,0.01299,0.001843,0.001748,0.001471,0.0008932,0.004125,0.003926,0.003335,0.00206,0.001341,0.01559,0.01521,0.01395,0.01035,0.0005362,0.009109,0.007956,0.005406,0.002317,0.02259,0.0218
525.0,0.002458,0.002101,0.02085,0.01424,0.001992,0.001892,0.001596,0.0009735,0.004519,0.004305,0.003665,0.002273,0.001371,0.01708,0.01668,0.01533,0.01146,0.0005665,0.009345,0.008244,0.00573,0.002523,0.02422,0.02342
535.0,0.002346,0.00204,0.02238,0.01554,0.00215,0.002043,0.001728,0.00106,0.004939,0.004709,0.004021,0.002507,0.001381,0.01867,0.01824,0.01682,0.01267,0.000595,0.009392,0.008382,0.005985,0.002728,0.02579,0.02498
545.0,0.002163,0.001919,0.02377,0.01681,0.002322,0.002209,0.001874,0.001156,0.005399,0.005154,0.004413,0.002767,0.001357,0.02037,0.01992,0.01842,0.01399,0.0006178,0.009149,0.008275,0.006105,0.002915,0.02715,0.02635
555.0,0.001944,0.001759,0.025,0.01804,0.002587,0.00246,0.002084,0.001281,0.006072,0.005795,0.004959,0.003101,0.001303,0.0225,0.02201,0.0204,0.01558,0.0006336,0.008683,0.007963,0.00609,0.003075,0.02827,0.02751
565.0,0.001844,0.001689,0.02649,0.01946,0.002975,0.002823,0.002377,0.001443,0.007021,0.006692,0.005704,0.00353,0.001291,0.02509,0.02456,0.02279,0.01749,0.0006583,0.008591,0.007952,0.006234,0.00328,0.02973,0.02897
575.0,0.00155,0.001448,0.02701,0.02034,0.002906,0.002774,0.002377,0.001498,0.006985,0.006691,0.005791,0.00371,0.001166,0.02613,0.02562,0.0239,0.01865,0.000649,0.007606,0.007147,0.005842,0.003322,0.02998,0.02929
585.0,0.001092,0.001045,0.02546,0.01993,0.002275,0.0022,0.001964,0.001365,0.005636,0.005459,0.004895,0.003428,0.0009008,0.02448,0.02408,0.02269,0.0183,0.0005764,0.005649,0.005413,0.004693,0.003031,0.02779,0.02726
595.0,0.0007164,0.0006974,0.02216,0.01818,0.001639,0.001603,0.001485,0.001142,0.004155,0.004066,0.003771,0.002905,0.0006355,0.0213,0.02102,0.02005,0.01681,0.0004663,0.003847,0.003746,0.003418,0.002514,0.02375,0.02339
605.0,0.0004602,0.0004529,0.01786,0.01536,0.001137,0.001122,0.001068,0.0008937,0.002923,0.002883,0.002746,0.002296,0.0004282,0.01732,0.01715,0.01655,0.01444,0.0003501,0.002535,0.002495,0.002359,0.001929,0.01879,0.01858
615.0,0.000431,0.0004252,0.01784,0.01559,0.001053,0.001041,0.0009992,0.0008577,0.002734,0.002703,0.002593,0.002224,0.0004052,0.01688,0.01673,0.01622,0.01438,0.0003398,0.002423,0.00239,0.002277,0.001909,0.01867,0.01848
625.0,0.0003974,0.0003929,0.01753,0.01555,0.0009668,0.0009576,0.0009253,0.0008132,0.002531,0.002507,0.002422,0.002126,0.0003772,0.01626,0.01613,0.0157,0.01414,0.0003243,0.002275,0.002249,0.002159,0.001855,0.01824,0.01808
