Wavelength,a*chl,a*mss,a*cdom,b*chl,b*mss
400,0.052898842,0.08,1.60779179,0.12,0.4
402,0.053036031,0.078450139,1.569648672,0.12,0.4
404,0.05457374,0.076930304,1.532410458,0.12,0.4
406,0.055862451,0.075494594,1.497386645,0.12,0.4
408,0.057642317,0.074032018,1.46186277,0.12,0.4
410,0.059298052,0.072597776,1.427181659,0.12,0.4
412,0.060847393,0.071242922,1.39456289,0.12,0.4
414,0.062029093,0.069862714,1.361478397,0.12,0.4
416,0.063072385,0.068509246,1.329178797,0.12,0.4
418,0.06406487,0.067230694,1.29879992,0.12,0.4
420,0.064799091,0.065928216,1.267987299,0.12,0.4
422,0.065273654,0.064650971,1.237905674,0.12,0.4
424,0.06621834,0.063444424,1.209612878,0.12,0.4
426,0.067186868,0.062215299,1.180916123,0.12,0.4
428,0.068893394,0.061009986,1.152900168,0.12,0.4
430,0.070636125,0.059871388,1.126550204,0.12,0.4
432,0.072621681,0.058711484,1.099824021,0.12,0.4
434,0.074654212,0.057574051,1.073731888,0.12,0.4
436,0.075924138,0.056499577,1.049191345,0.12,0.4
438,0.076626615,0.055404996,1.024300418,0.12,0.4
440,0.076612146,0.054331621,1,0.12,0.4
442,0.075957485,0.053317658,0.977144627,0.12,0.4
444,0.074703836,0.052284721,0.95396293,0.12,0.4
446,0.072940998,0.051271796,0.931331193,0.12,0.4
448,0.071475614,0.050314937,0.910045271,0.12,0.4
450,0.069922677,0.049340173,0.888455433,0.12,0.4
452,0.068768115,0.048384293,0.86737779,0.12,0.4
454,0.068243365,0.047481322,0.847553547,0.12,0.4
456,0.06811841,0.046561454,0.827446258,0.12,0.4
458,0.067991438,0.045659407,0.807815992,0.12,0.4
460,0.068713221,0.044807289,0.789353056,0.12,0.4
462,0.06867956,0.043939226,0.77062651,0.12,0.4
464,0.068978705,0.04308798,0.752344231,0.12,0.4
466,0.069060946,0.042283852,0.735149123,0.12,0.4
468,0.068773768,0.041464676,0.717708507,0.12,0.4
470,0.068396506,0.04066137,0.70068165,0.12,0.4
472,0.067664513,0.039902528,0.68466731,0.12,0.4
474,0.066322489,0.039129486,0.66842432,0.12,0.4
476,0.065213867,0.03837142,0.652566677,0.12,0.4
478,0.063824272,0.037655314,0.637652022,0.12,0.4
480,0.06243691,0.036925808,0.622524419,0.12,0.4
482,0.061897601,0.036210435,0.607755701,0.12,0.4
484,0.060254678,0.035534659,0.593865218,0.12,0.4
486,0.05848012,0.034846236,0.579776409,0.12,0.4
488,0.05709518,0.034171151,0.566021842,0.12,0.4
490,0.055060728,0.033533433,0.553085202,0.12,0.4
492,0.053939858,0.032883781,0.539963855,0.12,0.4
494,0.05239808,0.032246715,0.527153797,0.12,0.4
496,0.050981134,0.031644911,0.515105501,0.12,0.4
498,0.049401999,0.031031846,0.502885181,0.12,0.4
500,0.048165731,0.030430658,0.490954775,0.12,0.4
502,0.047049916,0.029862747,0.47973382,0.12,0.4
504,0.045736382,0.029284208,0.468352655,0.12,0.4
506,0.044090973,0.028716877,0.457241496,0.12,0.4
508,0.042985848,0.02818095,0.446791071,0.12,0.4
510,0.041397235,0.027634993,0.436191437,0.12,0.4
512,0.040235569,0.027099613,0.425843268,0.12,0.4
514,0.039032239,0.026593867,0.416110461,0.12,0.4
516,0.038026946,0.026078657,0.406238691,0.12,0.4
518,0.037080322,0.025573428,0.396601118,0.12,0.4
520,0.036117107,0.025096165,0.387536652,0.12,0.4
522,0.034956885,0.02460997,0.378342765,0.12,0.4
524,0.034288204,0.024133195,0.369366993,0.12,0.4
526,0.033379576,0.02368281,0.360924972,0.12,0.4
528,0.032502304,0.023223997,0.352362418,0.12,0.4
530,0.031573776,0.022774072,0.344003002,0.12,0.4
532,0.030879106,0.022349052,0.336140685,0.12,0.4
534,0.029720539,0.021916077,0.328166111,0.12,0.4
536,0.029053033,0.021491492,0.320380726,0.12,0.4
538,0.028056069,0.021090407,0.313058305,0.12,0.4
540,0.027100825,0.020681817,0.305631336,0.12,0.4
542,0.026188791,0.020281143,0.298380563,0.12,0.4
544,0.025235875,0.019902647,0.291560964,0.12,0.4
546,0.024393274,0.019517068,0.284643996,0.12,0.4
548,0.023205161,0.019138958,0.277891126,0.12,0.4
550,0.021897911,0.018781778,0.271539821,0.12,0.4
552,0.020955118,0.018417914,0.265097833,0.12,0.4
554,0.019647586,0.018061099,0.258808674,0.12,0.4
556,0.018615328,0.017724034,0.252893505,0.12,0.4
558,0.017156312,0.017380662,0.246893881,0.12,0.4
